Country,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Netherlands,,,0.26,0.27,0.3,0.34,0.36,0.38,0.42,0.49,0.54,0.56,0.61,0.7,0.83,0.98,1.16,1.4,1.99,2.73,2.92,3.34,3.64,4.17,5.3,6.15,5.7,5.52,5.38,5.47,5.66,6.71,7.73,8.59,8.98,10.95,11.1,11.68,11.59,13.16,16.04,17.93,17.25,17.66,18.21,19.39,19.24,20.27,24.64,29.75,33.83,38.62,45.84,52.84,41.33,47.81,55.53,54.51,55.31
New Zealand,,,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.09,0.08,0.09,0.08,0.08,0.1,0.1,0.11,0.15,0.22,0.2,0.18,0.23,0.27,0.31,0.39,0.45,0.47,0.47,0.45,0.45,0.48,0.49,0.6,0.74,0.74,0.78,0.8,0.82,0.88,1.01,1.14,1.2,1.18,1,1.04,1.11,1.14,1.2,1.37,1.7,1.81,1.87,2.24,2.51,2.07,2.61,3.14,3.11,
Norway,,,0.07,0.06,0.07,0.07,0.08,0.08,0.09,0.11,0.12,0.13,0.14,0.16,0.18,0.2,0.21,0.27,0.39,0.52,0.61,0.66,0.74,0.91,1.13,1.55,1.52,1.46,1.5,1.57,1.66,1.51,1.79,1.87,2.26,2.82,2.83,2.93,2.66,2.89,3.5,4.13,4.03,3.36,3.8,5.02,4.93,4.94,5.69,6.86,8.65,10.17,11.31,14.06,9.69,10.87,13.36,13.41,12.76
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,1.1,1.18,1.42,1.91,2.03,2.15,2.35,2.29,2.64,3.01,3.42,4.48,6.21,7.44,9.23,11.65,14.02,11.31,13.3,15.61,15.46,16.84
Portugal,,,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.05,0.05,0.06,0.06,0.07,0.08,0.09,0.11,0.15,0.19,0.16,0.15,0.17,0.2,0.3,0.39,0.35,0.35,0.38,0.43,0.47,0.61,0.76,0.87,1.06,1.36,1.35,1.5,1.24,1.49,1.94,2.1,2.01,2.05,2.04,2.03,2.01,2.15,2.64,2.98,3.22,3.73,4.37,4.73,3.67,4.11,4.96,4.85,5.24
Russian Federation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.47,4.55,4.76,5.63,6.76,7.38,7.24,6.2,6.3,8.75,8.49,8.94,11.33,15.27,20,25.3,29.53,39.31,25.28,33.39,43.5,44.09,43.61
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,0.56,0.71,0.74,0.8,0.89,0.33,0.4,0.44,0.84,1.32,1.74,2.07,2.82,4.34,5.68,4.65,5.38,6.65,6.72,7.18
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,0.52,0.51,0.91,1.09,1.37,1.6,1.93,2.51,2.83,2.17,2.43,2.89,2.68,2.84
South Africa,,0.11,0.09,0.1,0.1,0.11,0.11,0.12,0.12,0.12,0.14,0.16,0.18,0.18,0.28,0.29,0.34,0.5,0.72,0.73,0.65,0.83,1.06,1.52,2.12,1.72,1.47,1.55,1.42,1.35,1.53,1.77,1.82,1.85,1.97,1.94,1.95,2,2.08,2.38,2.42,2.58,2.2,2.22,2.51,2.42,2.46,3.02,3.77,4.32,4.84,5.8,6.62,5.16,6.74,8.08,7.28,,
Spain,,,0.03,0.03,0.04,0.06,0.06,0.06,0.06,0.08,0.08,0.1,0.12,0.13,0.16,0.2,0.25,0.32,0.43,0.59,0.64,0.73,0.85,1.09,1.52,1.7,1.71,1.71,1.65,1.96,2.01,2.27,2.83,3.35,3.61,4.61,4.99,5.38,5.08,6.09,8.32,9.24,8.41,9.27,8.7,9.58,9.72,10.44,13,15.2,16.04,17.8,21.08,23.32,18.87,21.18,25.52,24.61,26.37
Sweden,,,0.18,0.17,0.18,0.21,0.23,0.24,0.27,0.31,0.33,0.35,0.38,0.41,0.47,0.56,0.62,0.73,1.02,1.33,1.45,1.54,1.59,1.81,2.3,2.58,2.39,2.23,2.29,2.45,2.52,3.1,3.7,4.15,4.3,4.79,4.59,4.67,4.16,5.09,6.63,7.07,6.91,7.08,7.09,7.32,6.5,6.91,8.52,10.26,10.9,12.31,14.05,15.09,10.84,13.17,15.57,14.41,13.95
Switzerland,,,,,,0.15,0.17,0.18,0.2,0.22,0.25,0.27,0.29,0.33,0.38,0.43,0.48,0.57,0.79,0.99,1.08,1.24,1.46,1.95,2.21,2.42,2.24,2.16,2.13,2.15,2.26,3.1,3.77,4.22,4.3,5.3,5.11,5.45,5.25,5.85,6.77,6.65,6.35,6.56,6.69,6.71,6.85,7.31,8.39,9.89,10.64,12.15,13.71,15.89,15,15.46,18.59,17.83,18.09
Turkey,,,0.02,0.01,0.01,0.02,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,,,,,,,,,,,0.18,0.44,0.49,0.5,0.62,0.68,0.61,0.85,0.99,0.98,1.09,1.15,1.24,1.3,1.54,1.82,1.96,2.22,2.25,2.23,2.32,2.63,3.01,3.9,5.28,6.15,7.19,8.93,10.94,8.54,9.53,11.32,12.77,
United Kingdom,,,0.81,0.79,0.84,0.89,0.92,0.95,1.02,1.07,1.15,1.23,1.2,1.28,1.46,1.61,1.84,1.99,2.46,3.16,3.58,3.76,4.64,5.64,7.13,9.11,8.44,8.05,7.65,7.8,8.37,8.89,10.87,12.17,12.77,15.35,15.41,15.87,14.91,17.25,20.38,22.05,23.63,22.45,22.25,23.48,22.59,23.2,25.4,28.79,31.77,37.63,36.84,38.1,29.35,33.84,39.52,39.24,39.16
United States,1.19,1.44,1.74,1.49,1.47,1.72,1.75,1.81,1.95,2.21,2.29,2.53,2.63,2.85,3.17,3.6,3.68,4.15,5.94,8.21,8.97,9.62,10.1,11.96,15.14,18.39,19.47,17.68,16.71,18.23,17.73,18.93,21.18,26.87,30.32,32.8,35.14,37.35,38.76,42.72,48.73,52.09,57.43,56.84,57.98,65.16,60.76,57.76,60.4,68.23,75.5,86.39,95.68,107.29,88,106.52,123.36,128.81,131.57
